,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,predictions
9,43,services,married,primary,0,-88,1,1,cellular,17,4,313,1,147,2,failure,0,1
40,38,management,single,tertiary,0,11971,1,0,unknown,17,11,609,2,101,3,failure,0,1
47,26,blue-collar,married,primary,0,0,1,0,unknown,21,5,425,1,-1,0,unknown,0,1
51,37,technician,single,secondary,0,228,1,0,cellular,20,8,1740,2,-1,0,unknown,0,1
59,54,technician,divorced,secondary,0,784,1,1,unknown,15,5,579,1,-1,0,unknown,0,1
60,41,blue-collar,married,primary,0,-516,0,1,telephone,8,7,554,3,-1,0,unknown,0,1
61,63,retired,married,secondary,0,415,1,0,cellular,7,10,323,1,-1,0,unknown,0,1
68,41,management,married,secondary,0,0,0,1,cellular,7,7,630,3,-1,0,unknown,0,1
78,50,blue-collar,divorced,primary,0,388,0,0,cellular,5,2,701,1,-1,0,unknown,0,1
85,51,blue-collar,married,primary,0,1466,1,0,unknown,7,5,406,2,-1,0,unknown,0,1
87,35,blue-collar,single,primary,0,293,1,0,unknown,30,5,521,2,-1,0,unknown,0,1
88,38,admin.,married,secondary,0,424,1,0,cellular,17,4,279,1,-1,0,unknown,0,1
97,30,admin.,single,tertiary,0,261,0,0,cellular,19,10,233,1,137,20,failure,0,1
98,36,blue-collar,divorced,secondary,0,2843,0,0,cellular,12,2,473,1,182,1,success,0,1
101,38,management,single,tertiary,0,493,1,0,cellular,11,5,553,1,367,7,failure,0,1
105,32,management,single,tertiary,0,574,1,0,cellular,14,4,259,2,145,3,failure,0,1
119,46,management,divorced,tertiary,0,25,0,0,unknown,17,6,564,2,-1,0,unknown,0,1
120,31,admin.,divorced,secondary,0,1890,1,0,cellular,21,7,588,1,-1,0,unknown,0,1
123,36,blue-collar,married,secondary,0,-231,0,1,cellular,15,7,779,2,-1,0,unknown,0,1
145,35,management,married,tertiary,0,106,0,1,cellular,11,8,588,2,-1,0,unknown,0,1
148,46,admin.,married,secondary,0,179,1,0,cellular,29,1,194,4,436,1,other,0,1
159,34,technician,married,secondary,0,1641,1,0,cellular,17,4,380,1,-1,0,unknown,0,1
